Date;Point_max;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Production totale (MW);temp;humidite;nebulosite;rafale_periode;vitesse_vent;pluie_3h;pluie_6h;pluie_12h;pluie_24h;year;week
2017-07-09;2017-07-07T13:00:00+02:00;57408;6783;38144;810;4973;8783;-17;1022;-3091;60498;24.816092510157358;59.494992228615054;70.12095623824067;5.181193606331633;2.735709556417528;0.07692307692307693;0.13076923076923078;0.20000000000000004;0.5769230769230769;2017;27
2017-07-16;2017-07-12T13:00:00+02:00;55942;5050;39373;5131;3272;7740;-17;1135;-5747;61684;20.328489010989035;74.58344780219781;82.67050137362638;8.014512362637362;4.373612637362637;3.376923076923077;7.292307692307692;14.430769230769231;29.53076923076923;2017;28
2017-07-23;2017-07-18T13:00:00+02:00;56947;6204;39609;2572;4900;5420;-17;988;-2730;59676;25.038130723443246;55.55604395604395;72.76871565934066;7.0173832417582425;3.859498626373626;0.769230769230769;0.8153846153846154;1.2000000000000002;1.5538461538461539;2017;29
2017-07-30;2017-07-26T12:00:00+02:00;53872;4606;40522;2519;3218;7635;-26;1044;-5644;59518;18.93843406593409;74.74464285714285;83.53966346153847;6.965412087912087;3.8637706043956044;4.130769230769231;8.415384615384614;17.653846153846153;29.4;2017;30
2017-08-06;2017-08-03T13:00:00+02:00;52874;1099;39515;6339;4287;5449;-20;967;-4766;57636;23.206971153846176;65.66813186813187;80.59237637362638;7.898633241758242;4.343956043956044;1.5769230769230769;3.7;11.538461538461538;43.52307692307692;2017;31
2017-08-13;2017-08-07T13:00:00+02:00;48856;2130;37927;321;4725;5027;-20;1190;-2443;51300;20.428379120879143;57.11861263736263;73.68011675824177;5.040580357142857;2.5298145604395605;1.2923076923076924;1.4846153846153847;1.5923076923076922;7.753846153846155;2017;32
2017-08-20;2017-08-18T13:00:00+02:00;50550;2545;37610;2465;3139;6601;-20;1018;-2808;53358;20.27475274725277;75.51126373626374;78.96243131868133;6.782173763736264;3.7525343406593406;12.415384615384616;24.99230769230769;47.599999999999994;73.73076923076923;2017;33
2017-08-27;2017-08-25T13:00:00+02:00;53242;4938;40084;1050;4083;3703;-20;1003;-1600;54841;21.45101736972707;71.00049406238922;77.61244904289259;4.992805299539171;2.6699570187876636;2.8076923076923075;4.8;9.292307692307691;16.723076923076924;2017;34
2017-09-03;2017-08-29T13:00:00+02:00;56246;5492;40894;571;4227;6539;-50;906;-2336;58579;23.94523592599307;65.16827135882608;70.58669806580227;4.80622890477838;2.435639055472264;0.14615384615384616;1.9230769230769231;5.4;11.046153846153846;2017;35
2017-09-10;2017-09-06T12:00:00+02:00;54363;5183;42001;3199;2967;5876;-20;1222;-6068;60428;17.993531468531494;69.98854895104895;87.06435751748252;7.400563811188811;4.115109265734265;0.9384615384615386;2.0846153846153848;4.23076923076923;8.36923076923077;2017;36
2017-09-17;2017-09-14T12:00:00+02:00;55740;2141;42515;8463;2811;4158;-20;951;-5277;61019;14.984594780219803;73.93598901098902;76.90161401098901;9.972864010989012;5.277232142857144;19.54615384615385;40.784615384615385;91.93076923076923;181.34615384615384;2017;37
2017-09-24;2017-09-20T09:30:00+02:00;57340;6319;43295;1019;1656;7569;-70;951;-3398;60739;13.11952787132225;73.6113501417937;72.76948887805743;4.44446783055654;2.3103606876993976;0.9538461538461538;1.953846153846154;5.823076923076924;23.76153846153846;2017;38
2017-10-01;2017-09-27T12:00:00+02:00;55310;7233;41630;687;4185;4432;-19;958;-3796;59106;16.148956043956066;79.34635989010988;85.27647664835165;4.257012362637362;2.273650412087912;2.161538461538462;3.5461538461538464;5.515384615384615;14.26153846153846;2017;39
2017-10-08;2017-10-05T20:00:00+02:00;56649;8772;38766;2735;-1;9616;-6;995;-4229;60877;14.142338669911585;79.17775264954236;77.51960882892955;6.314043597015061;3.501950719875658;1.8538461538461537;3.523076923076923;5.246153846153846;6.084615384615384;2017;40
2017-10-15;2017-10-09T20:00:00+02:00;57078;8654;38121;925;-1;8486;-6;987;-91;57166;14.042652993558189;82.32710780598713;86.84199507389164;3.9062083175445244;2.056752320954907;1.2230769230769232;2.6923076923076925;5.6923076923076925;12.946153846153846;2017;41
2017-10-22;2017-10-18T19:30:00+02:00;57131;8486;36855;1676;-1;10195;-18;1030;-1095;58223;15.721435439560462;79.16737637362637;78.57767857142856;4.919024725274725;2.6843406593406596;3.861538461538461;6.761538461538462;11.307692307692308;19.646153846153847;2017;42
2017-10-29;2017-10-23T19:30:00+02:00;60995;8756;37591;3233;-1;9139;-6;1011;1268;59723;12.702362637362661;78.98392857142858;87.61469780219781;7.007781593406593;3.9932554945054948;4.1923076923076925;8.73076923076923;17.992307692307694;39.06153846153846;2017;43
2017-11-05;2017-10-31T09:30:00+01:00;64490;9056;41278;1103;2222;6589;-6;1058;3189;61300;8.108475274725297;75.2893543956044;72.12342032967032;4.306263736263737;2.4294986263736265;0.04615384615384616;0.12307692307692307;0.27692307692307694;1.8384615384615384;2017;44
2017-11-12;2017-11-08T19:00:00+01:00;74847;11721;40707;1620;-1;11361;-7;1230;8217;66631;6.75067379988435;81.16677631578948;88.65434318970503;5.515767784846732;2.9973178137651817;8.023076923076923;15.115384615384615;33.9;60.34615384615385;2017;45
2017-11-19;2017-11-14T19:00:00+01:00;75629;10831;42213;1712;-1;13386;-6;1274;6222;69409;6.809078421578444;75.07938727938728;82.08645104895105;5.759204961704962;3.2478346653346652;0.0;0.5307692307692308;1.4153846153846152;7.8538461538461535;2017;46
2017-11-26;2017-11-20T19:00:00+01:00;75338;11116;42972;5793;-1;10264;-7;1137;4062;71274;7.240501373626397;85.83489010989011;86.86136675824176;5.307122252747253;2.939591346153846;0.676923076923077;1.2461538461538462;2.3153846153846156;5.46923076923077;2017;47
2017-12-03;2017-11-30T19:00:00+01:00;83960;11434;45961;3295;-1;14557;-13;1143;7587;76376;3.539587468982652;80.10975274725274;82.44979284828075;7.222883507621412;3.7552182293512937;5.123076923076923;8.7;15.099999999999998;28.96923076923077;2017;48
2017-12-10;2017-12-06T19:00:00+01:00;82425;11449;51825;1834;-1;11803;-13;1085;4441;77982;4.7150068681318915;83.48976648351649;89.00436126373627;4.538832417582418;2.5536607142857144;0.02307692307692308;-0.007692307692307691;-0.06923076923076923;-0.13076923076923078;2017;49
2017-12-17;2017-12-12T19:00:00+01:00;82632;11421;50249;3341;0;12825;-13;1089;3721;78912;4.712286003470239;82.09501879699248;87.34206911509544;5.897141772700983;3.3006821139386924;4.161538461538461;9.407692307692308;31.692307692307693;150.93076923076922;2017;50
2017-12-24;2017-12-19T19:00:00+01:00;82964;10201;53728;1354;-1;13788;-7;1120;2781;80183;3.9406907272834926;87.35384319981094;86.48657575623301;3.971003633463311;2.1500005169561622;0.41538461538461535;1.2692307692307692;5.546153846153846;33.292307692307695;2017;51
2017-12-31;2017-12-28T19:00:00+01:00;76959;7247;53547;2345;-1;10889;-13;1143;1808;75157;3.402197802197826;76.55927197802198;79.8336195054945;7.422918956043956;3.9440178571428572;2.6923076923076925;5.753846153846154;17.676923076923078;84.91538461538462;2017;52
2018-01-07;2018-01-03T19:00:00+01:00;72528;2697;55874;10250;-1;12656;-17;1062;-9992;82521;11.010171703296727;77.24718406593406;92.1881868131868;16.24184065934066;8.57381868131868;18.96153846153846;33.16153846153846;58.37692307692308;98.02307692307691;2018;1
2018-01-14;2018-01-11T19:00:00+01:00;77318;10469;58170;1436;-1;13695;-23;1064;-7496;84810;6.474338017751503;89.20436390532544;89.6331176035503;4.998646449704141;2.623979289940828;5.2153846153846155;11.092307692307692;24.553846153846152;54.56153846153846;2018;2
2018-01-21;2018-01-17T19:00:00+01:00;79657;5066;57504;8792;-1;14502;-21;1066;-7248;86908;7.391105769230792;69.60034340659341;82.81421703296704;14.699120879120878;7.687403846153846;10.084615384615384;22.815384615384612;52.646153846153844;119.56923076923077;2018;3
2018-01-28;2018-01-26T19:00:00+01:00;74065;9529;58616;1315;-1;14821;-21;1082;-11274;85341;6.973337912087936;86.94732142857143;90.47410714285714;5.980824175824176;3.11614010989011;29.907692307692308;57.7;107.4923076923077;180.2;2018;4
2018-02-04;2018-02-02T09:30:00+01:00;79678;9226;57666;3665;758;14576;-27;1170;-7359;87034;4.104127747252772;81.92451923076922;89.05580357142858;6.636449175824176;3.5741758241758244;4.938461538461539;9.007692307692308;15.076923076923077;42.68461538461539;2018;5
2018-02-11;2018-02-07T19:00:00+01:00;88869;12218;56289;1889;-1;16975;-28;1192;333;88534;1.5586046614675861;79.42700726692662;92.58395183445586;6.857564914923786;3.7578959145693016;1.7461538461538462;4.6923076923076925;13.938461538461537;55.22307692307693;2018;6
2018-02-18;2018-02-13T19:00:00+01:00;86795;11196;57143;5278;-1;15486;-66;1179;-3419;90215;2.2067032967033198;75.685989010989;83.28296703296704;8.232637362637362;4.5021016483516485;7.007692307692308;13.584615384615384;24.684615384615384;34.4923076923077;2018;7
2018-02-25;2018-02-23T09:30:00+01:00;85492;11048;52504;5575;1335;16582;-28;1099;-2626;88115;1.884896978022002;66.25906593406593;82.30271291208791;7.934629120879121;4.5523695054945055;1.4461538461538461;2.8846153846153846;5.700000000000001;9.353846153846153;2018;8
2018-03-04;2018-02-28T19:30:00+01:00;96270;13652;51478;10364;-1;14728;-12;1015;5043;91224;-2.9276663351016596;61.25680971327524;85.97024598964254;9.872789882531263;5.826460780598712;5.246153846153846;8.292307692307691;9.884615384615385;12.600000000000001;2018;9
2018-03-11;2018-03-07T19:30:00+01:00;75075;9656;51266;4502;0;14458;-4;1028;-5830;80906;7.0284615384615625;78.11112637362638;84.57211538461539;8.41978021978022;4.521710164835165;7.038461538461538;15.076923076923077;36.07692307692308;73.36153846153846;2018;10
2018-03-18;2018-03-18T20:00:00+01:00;69737;6605;47486;2841;0;13525;-21;1148;-1855;71584;3.6260233516483753;80.90693681318682;91.8801510989011;7.334182692307692;4.154848901098901;8.015384615384615;17.146153846153847;41.776923076923076;109.01538461538462;2018;11
2018-03-25;2018-03-19T19:30:00+01:00;81769;10725;48198;4511;-2;14915;-4;1134;2293;79477;2.8832417582417804;76.90611263736264;91.45738324175825;7.411565934065934;4.1522527472527475;6.515384615384615;13.753846153846155;27.407692307692308;55.900000000000006;2018;12
2018-04-01;2018-03-27T12:00:00+02:00;71354;9727;45798;6182;2141;10149;-4;1068;-3706;75061;8.86596153846156;83.43708791208792;92.67445054945054;8.386717032967033;4.766332417582418;12.26923076923077;23.76153846153846;41.91538461538461;60.69230769230769;2018;13
2018-04-08;2018-04-06T09:00:00+02:00;65980;1315;45110;6544;1480;12875;-5;1075;-2419;68394;11.885700549450574;66.56483516483516;81.30374313186813;7.16279532967033;3.984587912087912;0.06923076923076923;0.06923076923076923;0.06153846153846154;1.9153846153846155;2018;14
2018-04-15;2018-04-11T09:30:00+02:00;62620;3534;43715;1956;1027;12638;-5;1015;-1258;63880;11.17660359801491;75.11643699042892;88.917726426799;6.609877038284297;3.592811281460475;19.16923076923077;34.6;59.21538461538462;104.13846153846154;2018;15
2018-04-22;2018-04-16T12:00:00+02:00;57772;2407;44119;803;3865;11520;-4;1062;-5997;63772;12.795247252747275;72.02898351648352;85.2862293956044;5.5450068681318685;2.954168956043956;1.546153846153846;3.7999999999999994;9.107692307692307;19.26153846153846;2018;16
2018-04-29;2018-04-26T13:00:00+02:00;54827;845;43919;3432;5496;9963;-64;1134;-9901;64725;12.522925824175847;68.33440934065933;82.28502747252747;6.647438186813186;3.519059065934066;0.4153846153846154;1.0615384615384615;2.976923076923077;7.915384615384616;2018;17
2018-05-06;2018-05-02T12:00:00+02:00;59004;764;44302;4989;4926;9059;-21;1061;-6074;65080;10.834666103127663;75.5622323189631;88.0241353198084;6.698960446604677;3.7080933009298396;8.538461538461538;17.86923076923077;36.246153846153845;67.3;2018;18
