Date;Code INSEE region;vitesse_vent;vent_min;vent_faible;vent_moyen;vent_fort;vent_max;year;week;mois
29/03/2015;76;5.091071429;1.698;3.164;4.63;6.241;7.852;2015;13;3
29/03/2015;84;4.55;1.461;2.749;4.036;5.888;7.741;2015;13;3
29/03/2015;93;5.134375;2.575;4.165;5.754;7.551;9.348;2015;13;3
05/04/2015;11;4.2375;1.175;2.107;3.04;3.932;4.825;2015;14;4
05/04/2015;24;4.325;1.456;2.259;3.062;3.896;4.731;2015;14;4
05/04/2015;27;4.275;1.75;2.517;3.284;4.167;5.05;2015;14;4
05/04/2015;28;6.3;1.897;2.842;3.786;5.063;6.341;2015;14;4
05/04/2015;32;6.125;1.569;2.506;3.443;4.962;6.481;2015;14;4
05/04/2015;44;5.825;1.743;2.3;2.857;4.341;5.825;2015;14;4
05/04/2015;52;4.35;1.388;2.374;3.36;4.692;6.025;2015;14;4
05/04/2015;53;5.515625;2.441;3.377;4.313;5.582;6.85;2015;14;4
05/04/2015;75;3.3125;2.048;2.829;3.611;4.78;5.95;2015;14;4
05/04/2015;76;3.896428571;1.957;2.881;3.805;4.935;6.065;2015;14;4
05/04/2015;84;3.4;2.288;2.891;3.494;4.507;5.519;2015;14;4
05/04/2015;93;7.809375;2.509;3.681;4.852;6.474;8.097;2015;14;4
12/04/2015;11;2.65;1.175;2.107;3.04;3.932;4.825;2015;15;4
12/04/2015;24;4.73125;1.456;2.259;3.062;3.896;4.731;2015;15;4
12/04/2015;27;5.05;1.75;2.517;3.284;4.167;5.05;2015;15;4
12/04/2015;28;3.7;1.897;2.842;3.786;5.063;6.341;2015;15;4
12/04/2015;32;1.98125;1.569;2.506;3.443;4.962;6.481;2015;15;4
12/04/2015;44;2.045;1.743;2.3;2.857;4.341;5.825;2015;15;4
12/04/2015;52;6.025;1.388;2.374;3.36;4.692;6.025;2015;15;4
12/04/2015;53;5.646875;2.441;3.377;4.313;5.582;6.85;2015;15;4
12/04/2015;75;5.05;2.048;2.829;3.611;4.78;5.95;2015;15;4
12/04/2015;76;3.5875;1.957;2.881;3.805;4.935;6.065;2015;15;4
12/04/2015;84;3.034375;2.288;2.891;3.494;4.507;5.519;2015;15;4
12/04/2015;93;3.390625;2.509;3.681;4.852;6.474;8.097;2015;15;4
19/04/2015;11;1.175;1.175;2.107;3.04;3.932;4.825;2015;16;4
19/04/2015;24;2.40625;1.456;2.259;3.062;3.896;4.731;2015;16;4
19/04/2015;27;2.3125;1.75;2.517;3.284;4.167;5.05;2015;16;4
19/04/2015;28;1.896875;1.897;2.842;3.786;5.063;6.341;2015;16;4
19/04/2015;32;2.225;1.569;2.506;3.443;4.962;6.481;2015;16;4
19/04/2015;44;2.02;1.743;2.3;2.857;4.341;5.825;2015;16;4
19/04/2015;52;1.875;1.388;2.374;3.36;4.692;6.025;2015;16;4
19/04/2015;53;2.640625;2.441;3.377;4.313;5.582;6.85;2015;16;4
19/04/2015;75;2.5;2.048;2.829;3.611;4.78;5.95;2015;16;4
19/04/2015;76;1.957142857;1.957;2.881;3.805;4.935;6.065;2015;16;4
19/04/2015;84;2.428125;2.288;2.891;3.494;4.507;5.519;2015;16;4
19/04/2015;93;3.625;2.509;3.681;4.852;6.474;8.097;2015;16;4
26/04/2015;11;4.35;1.175;2.107;3.04;3.932;4.825;2015;17;4
26/04/2015;24;2.775;1.456;2.259;3.062;3.896;4.731;2015;17;4
26/04/2015;27;3.5125;1.75;2.517;3.284;4.167;5.05;2015;17;4
26/04/2015;28;4.57;1.897;2.842;3.786;5.063;6.341;2015;17;4
26/04/2015;32;4.39375;1.569;2.506;3.443;4.962;6.481;2015;17;4
26/04/2015;44;2.76;1.743;2.3;2.857;4.341;5.825;2015;17;4
26/04/2015;52;2.7375;1.388;2.374;3.36;4.692;6.025;2015;17;4
26/04/2015;53;4.2015625;2.441;3.377;4.313;5.582;6.85;2015;17;4
26/04/2015;75;2.0475;2.048;2.829;3.611;4.78;5.95;2015;17;4
26/04/2015;76;2.2625;1.957;2.881;3.805;4.935;6.065;2015;17;4
26/04/2015;84;2.421875;2.288;2.891;3.494;4.507;5.519;2015;17;4
26/04/2015;93;3.575;2.509;3.681;4.852;6.474;8.097;2015;17;4
03/05/2015;11;3.1375;1.8;2.724;3.647;5.236;6.825;2015;18;5
03/05/2015;24;3.29375;1.731;2.365;2.998;4.44;5.881;2015;18;5
03/05/2015;27;2.55;1.65;2.331;3.011;5.037;7.063;2015;18;5
03/05/2015;28;2.729032258;2.228;3.14;4.053;6.211;8.369;2015;18;5
03/05/2015;32;3.78125;1.663;2.884;4.106;6.237;8.369;2015;18;5
03/05/2015;44;3.64;1.678;2.417;3.157;4.215;5.273;2015;18;5
03/05/2015;52;3.0125;1.425;2.27;3.114;4.426;5.738;2015;18;5
03/05/2015;53;3.940625;2.213;3.289;4.365;6.494;8.622;2015;18;5
03/05/2015;75;4.5125;2.19;2.909;3.627;4.9;6.173;2015;18;5
03/05/2015;76;2.232142857;1.743;2.776;3.81;4.823;5.836;2015;18;5
03/05/2015;84;2.6375;1.378;2.431;3.484;5.505;7.525;2015;18;5
03/05/2015;93;3.740625;2.384;3.594;4.804;6.904;9.003;2015;18;5
10/05/2015;11;6.0375;1.8;2.724;3.647;5.236;6.825;2015;19;5
10/05/2015;24;5.39375;1.731;2.365;2.998;4.44;5.881;2015;19;5
10/05/2015;27;3.0875;1.65;2.331;3.011;5.037;7.063;2015;19;5
10/05/2015;28;8.36875;2.228;3.14;4.053;6.211;8.369;2015;19;5
10/05/2015;32;8.36875;1.663;2.884;4.106;6.237;8.369;2015;19;5
10/05/2015;44;4.546153846;1.678;2.417;3.157;4.215;5.273;2015;19;5
10/05/2015;52;5.7375;1.425;2.27;3.114;4.426;5.738;2015;19;5
10/05/2015;53;8.621875;2.213;3.289;4.365;6.494;8.622;2015;19;5
10/05/2015;75;4.675;2.19;2.909;3.627;4.9;6.173;2015;19;5
10/05/2015;76;2.978571429;1.743;2.776;3.81;4.823;5.836;2015;19;5
10/05/2015;84;2.946875;1.378;2.431;3.484;5.505;7.525;2015;19;5
10/05/2015;93;4.021875;2.384;3.594;4.804;6.904;9.003;2015;19;5
17/05/2015;11;2.9875;1.8;2.724;3.647;5.236;6.825;2015;20;5
17/05/2015;24;2.575;1.731;2.365;2.998;4.44;5.881;2015;20;5
17/05/2015;27;2.675;1.65;2.331;3.011;5.037;7.063;2015;20;5
17/05/2015;28;3.49375;2.228;3.14;4.053;6.211;8.369;2015;20;5
17/05/2015;32;4.68125;1.663;2.884;4.106;6.237;8.369;2015;20;5
17/05/2015;44;3.917948718;1.678;2.417;3.157;4.215;5.273;2015;20;5
17/05/2015;52;2.5875;1.425;2.27;3.114;4.426;5.738;2015;20;5
17/05/2015;53;3.465625;2.213;3.289;4.365;6.494;8.622;2015;20;5
17/05/2015;75;2.8275;2.19;2.909;3.627;4.9;6.173;2015;20;5
17/05/2015;76;2.582142857;1.743;2.776;3.81;4.823;5.836;2015;20;5
17/05/2015;84;3.44516129;1.378;2.431;3.484;5.505;7.525;2015;20;5
17/05/2015;93;2.384375;2.384;3.594;4.804;6.904;9.003;2015;20;5
24/05/2015;11;3.475;1.8;2.724;3.647;5.236;6.825;2015;21;5
24/05/2015;24;2.76875;1.731;2.365;2.998;4.44;5.881;2015;21;5
24/05/2015;27;3.025;1.65;2.331;3.011;5.037;7.063;2015;21;5
24/05/2015;28;4.603125;2.228;3.14;4.053;6.211;8.369;2015;21;5
24/05/2015;32;4.45;1.663;2.884;4.106;6.237;8.369;2015;21;5
24/05/2015;44;3.225;1.678;2.417;3.157;4.215;5.273;2015;21;5
24/05/2015;52;2.525;1.425;2.27;3.114;4.426;5.738;2015;21;5
24/05/2015;53;4.825;2.213;3.289;4.365;6.494;8.622;2015;21;5
24/05/2015;75;4.225;2.19;2.909;3.627;4.9;6.173;2015;21;5
24/05/2015;76;5.6375;1.743;2.776;3.81;4.823;5.836;2015;21;5
24/05/2015;84;4.215625;1.378;2.431;3.484;5.505;7.525;2015;21;5
24/05/2015;93;8.753125;2.384;3.594;4.804;6.904;9.003;2015;21;5
31/05/2015;11;3.2875;1.8;2.724;3.647;5.236;6.825;2015;22;5
31/05/2015;24;2.2875;1.731;2.365;2.998;4.44;5.881;2015;22;5
31/05/2015;27;2.2;1.65;2.331;3.011;5.037;7.063;2015;22;5
31/05/2015;28;4.621875;2.228;3.14;4.053;6.211;8.369;2015;22;5
31/05/2015;32;5.99375;1.663;2.884;4.106;6.237;8.369;2015;22;5
31/05/2015;44;3.1725;1.678;2.417;3.157;4.215;5.273;2015;22;5
31/05/2015;52;2.25;1.425;2.27;3.114;4.426;5.738;2015;22;5
31/05/2015;53;3.946875;2.213;3.289;4.365;6.494;8.622;2015;22;5
31/05/2015;75;2.56;2.19;2.909;3.627;4.9;6.173;2015;22;5
31/05/2015;76;2.444642857;1.743;2.776;3.81;4.823;5.836;2015;22;5
31/05/2015;84;2.06875;1.378;2.431;3.484;5.505;7.525;2015;22;5
31/05/2015;93;3.575;2.384;3.594;4.804;6.904;9.003;2015;22;5
07/06/2015;11;3.5125;1.625;2.482;3.339;4.932;6.525;2015;23;6
07/06/2015;24;3.1625;1.863;2.412;2.961;3.796;4.631;2015;23;6
07/06/2015;27;2.625;1.65;2.204;2.759;3.748;4.738;2015;23;6
07/06/2015;28;4.25625;2.1;2.996;3.893;5.601;7.309;2015;23;6
07/06/2015;32;3.875;1.775;2.745;3.715;4.923;6.131;2015;23;6
07/06/2015;44;2.2825;1.635;2.158;2.681;3.137;3.593;2015;23;6
07/06/2015;52;2.7625;1.625;2.36;3.094;4.091;5.088;2015;23;6
07/06/2015;53;4.275;2.563;3.211;3.859;4.842;5.825;2015;23;6
07/06/2015;75;4.065;2.32;2.821;3.322;4.382;5.443;2015;23;6
07/06/2015;76;2.814814815;2.2;2.689;3.177;4.36;5.543;2015;23;6
07/06/2015;84;3.0375;1.674;2.288;2.902;3.964;5.025;2015;23;6
07/06/2015;93;2.784375;2.675;3.26;3.844;5.553;7.263;2015;23;6
14/06/2015;11;3.9;1.625;2.482;3.339;4.932;6.525;2015;24;6
14/06/2015;24;3.01875;1.863;2.412;2.961;3.796;4.631;2015;24;6
14/06/2015;27;2.525;1.65;2.204;2.759;3.748;4.738;2015;24;6
14/06/2015;28;5.2;2.1;2.996;3.893;5.601;7.309;2015;24;6
14/06/2015;32;5;1.775;2.745;3.715;4.923;6.131;2015;24;6
14/06/2015;44;2.09;1.635;2.158;2.681;3.137;3.593;2015;24;6
14/06/2015;52;2.8;1.625;2.36;3.094;4.091;5.088;2015;24;6
14/06/2015;53;3.50625;2.563;3.211;3.859;4.842;5.825;2015;24;6
14/06/2015;75;2.7375;2.32;2.821;3.322;4.382;5.443;2015;24;6
14/06/2015;76;3.803636364;2.2;2.689;3.177;4.36;5.543;2015;24;6
14/06/2015;84;3.025;1.674;2.288;2.902;3.964;5.025;2015;24;6
14/06/2015;93;4.728125;2.675;3.26;3.844;5.553;7.263;2015;24;6
21/06/2015;11;4.5125;1.625;2.482;3.339;4.932;6.525;2015;25;6
21/06/2015;24;2.9375;1.863;2.412;2.961;3.796;4.631;2015;25;6
21/06/2015;27;2.5;1.65;2.204;2.759;3.748;4.738;2015;25;6
21/06/2015;28;4.659375;2.1;2.996;3.893;5.601;7.309;2015;25;6
21/06/2015;32;4.5125;1.775;2.745;3.715;4.923;6.131;2015;25;6
21/06/2015;44;3.2575;1.635;2.158;2.681;3.137;3.593;2015;25;6
21/06/2015;52;2.375;1.625;2.36;3.094;4.091;5.088;2015;25;6
21/06/2015;53;4.453125;2.563;3.211;3.859;4.842;5.825;2015;25;6
21/06/2015;75;3.1475;2.32;2.821;3.322;4.382;5.443;2015;25;6
21/06/2015;76;5.0625;2.2;2.689;3.177;4.36;5.543;2015;25;6
21/06/2015;84;3.978125;1.674;2.288;2.902;3.964;5.025;2015;25;6
21/06/2015;93;3.309375;2.675;3.26;3.844;5.553;7.263;2015;25;6
28/06/2015;11;3.0375;1.625;2.482;3.339;4.932;6.525;2015;26;6
28/06/2015;24;2.225;1.863;2.412;2.961;3.796;4.631;2015;26;6
28/06/2015;27;1.65;1.65;2.204;2.759;3.748;4.738;2015;26;6
28/06/2015;28;3.4125;2.1;2.996;3.893;5.601;7.309;2015;26;6
28/06/2015;32;2.75;1.775;2.745;3.715;4.923;6.131;2015;26;6
28/06/2015;44;2.1225;1.635;2.158;2.681;3.137;3.593;2015;26;6
28/06/2015;52;2.7875;1.625;2.36;3.094;4.091;5.088;2015;26;6
28/06/2015;53;3.971875;2.563;3.211;3.859;4.842;5.825;2015;26;6
28/06/2015;75;2.5425;2.32;2.821;3.322;4.382;5.443;2015;26;6
28/06/2015;76;2.516071429;2.2;2.689;3.177;4.36;5.543;2015;26;6
28/06/2015;84;2.184375;1.674;2.288;2.902;3.964;5.025;2015;26;6
28/06/2015;93;2.9875;2.675;3.26;3.844;5.553;7.263;2015;26;6
05/07/2015;11;2.8;1.5;2.309;3.117;3.877;4.638;2015;27;7
05/07/2015;24;3.275;1.35;2.126;2.902;3.614;4.325;2015;27;7
05/07/2015;27;3.025;1.438;2.14;2.843;3.934;5.025;2015;27;7
05/07/2015;28;4.625;1.806;2.745;3.684;4.633;5.581;2015;27;7
05/07/2015;32;3.875;1.6;2.534;3.468;4.353;5.238;2015;27;7
05/07/2015;44;2.3975;1.362;1.976;2.591;3.606;4.62;2015;27;7
05/07/2015;52;4.125;1.25;2.232;3.214;3.945;4.675;2015;27;7
05/07/2015;53;3.3625;2.193;3.06;3.927;4.868;5.809;2015;27;7
05/07/2015;75;3.8275;2.085;2.74;3.396;4.071;4.745;2015;27;7
05/07/2015;76;4.069642857;2.153;2.635;3.118;3.818;4.518;2015;27;7
05/07/2015;84;3.95625;1.594;2.187;2.781;3.743;4.706;2015;27;7
05/07/2015;93;2.909375;2.513;3.009;3.505;5.443;7.381;2015;27;7
12/07/2015;11;3.5875;1.5;2.309;3.117;3.877;4.638;2015;28;7
12/07/2015;24;3.4375;1.35;2.126;2.902;3.614;4.325;2015;28;7
12/07/2015;27;3.4375;1.438;2.14;2.843;3.934;5.025;2015;28;7
12/07/2015;28;5.140625;1.806;2.745;3.684;4.633;5.581;2015;28;7
12/07/2015;32;4.5;1.6;2.534;3.468;4.353;5.238;2015;28;7
12/07/2015;44;3.1;1.362;1.976;2.591;3.606;4.62;2015;28;7
12/07/2015;52;3.0875;1.25;2.232;3.214;3.945;4.675;2015;28;7
12/07/2015;53;5.809375;2.193;3.06;3.927;4.868;5.809;2015;28;7
12/07/2015;75;4.07;2.085;2.74;3.396;4.071;4.745;2015;28;7
12/07/2015;76;3.178571429;2.153;2.635;3.118;3.818;4.518;2015;28;7
12/07/2015;84;3.59375;1.594;2.187;2.781;3.743;4.706;2015;28;7
12/07/2015;93;3.640625;2.513;3.009;3.505;5.443;7.381;2015;28;7
19/07/2015;11;3.4875;1.5;2.309;3.117;3.877;4.638;2015;29;7
19/07/2015;24;3.90625;1.35;2.126;2.902;3.614;4.325;2015;29;7
